Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Caproic Acid (C₆H₁₂O₂),280,113,Fiber-Reinforced Plastic (FRP),229,Low,"Gloves, Safety Goggles",Factory Floor,Corrosion Damage,CRITICAL RISK
Thiocyanic Acid (HSCN),143,77,Stainless Steel,56,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves",Cold Storage Unit,Acid Spill,HIGH RISK
Methacrylic Acid (C₄H₆O₂),150,80,Stainless Steel,51,Fume Hood Ventilation,Eye Wash Station Access,Factory Floor,Fire Hazard,HIGH RISK
Propionic Acid (C₃H₆O₂),11,44,Stainless Steel,10,Industrial Ventilation System,"Lab Coat, Safety Goggles, Gloves, Safety Boots",Cold Storage Unit,Explosion Risk,MEDIUM RISK
Malic Acid (C₄H₆O₅),9,20,Carbon Steel (coated),10,High,"Full Body Protective Suit, Safety Goggles",Factory Floor,Explosion Risk,LOW RISK
Periodic Acid (HIO₄),376,106,Carbon Steel (coated),232,Poor,"Safety Goggles, Gloves, Respirator Mask",Underground Storage,Corrosion Damage,CRITICAL RISK
Carbonic Acid (H₂CO₃),43,32,Ceramic Containers,24,Good,"Safety Boots, Gloves, Lab Coat",Outdoor Storage,Corrosion Damage,MEDIUM RISK
Selenic Acid (H₂SeO₄),43,26,Polypropylene,33,Poor,"Safety Goggles, Chemical Suit",Laboratory,Fire Hazard,MEDIUM RISK
Acetic Acid (CH₃COOH),22,38,Glass,39,Industrial Ventilation System,"Chemical Suit, Full Body Protective Suit, Safety Goggles, Respirator Mask, Gloves",Cold Storage Unit,Acid Spill,MEDIUM RISK
Acetic Acid (CH₃COOH),3,26,Ceramic Containers,11,Low,"Respirator Mask, Gloves",Factory Floor,Acid Burn,LOW RISK
Iodic Acid (HIO₃),32,35,Glass,33,Moderate,"Gloves, Full Body Protective Suit, Eye Wash Station Access",Hazardous Material Room,Container Leakage,MEDIUM RISK
Perchloric Acid (HClO₄),3,16,PTFE (Teflon-lined),14,Moderate,"Face Shield, Respirator Mask, Gloves",Warehouse,Corrosion Damage,LOW RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),464,112,Polypropylene,156,Industrial Ventilation System,"Gloves, Respirator Mask, Full Body Protective Suit, Lab Coat",Chemical Storage Room,Acid Burn,CRITICAL RISK
Acrylic Acid (C₃H₄O₂),25,27,PVC (Polyvinyl Chloride),38,High,"Gloves, Lab Coat, Safety Boots, Face Shield, Respirator Mask",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Acrylic Acid (C₃H₄O₂),19,25,Stainless Steel,28,High,"Respirator Mask, Chemical-resistant Gloves, Lab Coat",Underground Storage,Fire Hazard,MEDIUM RISK
Butyric Acid (C₄H₈O₂),58,44,Ceramic Containers,40,Fume Hood Ventilation,"Safety Goggles, Eye Wash Station Access, Safety Boots",Chemical Storage Room,Acid Burn,MEDIUM RISK
Carbonic Acid (H₂CO₃),40,38,PTFE (Teflon-lined),14,Low,"Safety Boots, Lab Coat, Gloves",Laboratory,Toxic Gas Release,MEDIUM RISK
Citric Acid (C₆H₈O₇),51,38,Fiber-Reinforced Plastic (FRP),27,Fume Hood Ventilation,"Chemical Suit, Chemical-resistant Gloves",Warehouse,Acid Burn,MEDIUM RISK
Nitric Acid (HNO₃),56,38,Ceramic Containers,16,Industrial Ventilation System,"Face Shield, Gloves, Chemical Suit, Safety Boots, Respirator Mask",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Nitric Acid (HNO₃),2,30,Glass,13,Fume Hood Ventilation,"Safety Goggles, Full Body Protective Suit",Factory Floor,Acid Burn,LOW RISK
Selenic Acid (H₂SeO₄),30,29,Ceramic Containers,28,Fume Hood Ventilation,"Gloves, Chemical-resistant Gloves, Full Body Protective Suit",Chemical Storage Room,Acid Spill,MEDIUM RISK
Carbonic Acid (H₂CO₃),6,30,Carbon Steel (coated),12,Low,"Chemical Suit, Chemical-resistant Gloves, Safety Goggles, Respirator Mask, Full Body Protective Suit",Outdoor Storage,Explosion Risk,LOW RISK
Hydrochloric Acid (HCl),31,42,Glass,28,High,Safety Goggles,Underground Storage,Explosion Risk,MEDIUM RISK
Bromic Acid (HBrO₃),152,53,Borosilicate Glass,65,Industrial Ventilation System,"Gloves, Safety Goggles, Eye Wash Station Access",Laboratory,Acid Spill,HIGH RISK
Silicic Acid (H₄SiO₄),10,24,Ceramic Containers,7,Good,Chemical Suit,Chemical Storage Room,Acid Burn,LOW RISK
Acetic Acid (CH₃COOH),75,59,HDPE Plastic,88,Fume Hood Ventilation,Gloves,Outdoor Storage,Acid Burn,HIGH RISK
Valeric Acid (C₅H₁₀O₂),120,40,Stainless Steel,56,Poor,"Lab Coat, Chemical-resistant Gloves",Laboratory,Fire Hazard,HIGH RISK
Bromic Acid (HBrO₃),45,27,Carbon Steel (coated),35,High,"Safety Goggles, Respirator Mask",Chemical Storage Room,Container Leakage,MEDIUM RISK
Periodic Acid (HIO₄),54,30,Fiber-Reinforced Plastic (FRP),30,Good,Chemical Suit,Outdoor Storage,Corrosion Damage,MEDIUM RISK
Chloric Acid (HClO₃),12,15,HDPE Plastic,12,Good,"Face Shield, Safety Goggles, Full Body Protective Suit, Lab Coat, Chemical Suit",Factory Floor,Corrosion Damage,LOW RISK
Selenic Acid (H₂SeO₄),159,66,Polypropylene,50,Low,"Gloves, Lab Coat, Face Shield, Respirator Mask, Chemical Suit",Laboratory,Container Leakage,HIGH RISK
Palmitic Acid (C₁₆H₃₂O₂),32,25,Fiber-Reinforced Plastic (FRP),12,Industrial Ventilation System,"Full Body Protective Suit, Eye Wash Station Access, Respirator Mask, Safety Boots",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),51,43,Fiber-Reinforced Plastic (FRP),37,Fume Hood Ventilation,Safety Goggles,Factory Floor,Explosion Risk,MEDIUM RISK
Lactic Acid (C₃H₆O₃),4,17,PTFE (Teflon-lined),8,Industrial Ventilation System,"Face Shield, Lab Coat, Chemical Suit, Respirator Mask, Eye Wash Station Access",Hazardous Material Room,Toxic Gas Release,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),454,86,Borosilicate Glass,148,Poor,"Lab Coat, Eye Wash Station Access, Safety Goggles, Safety Boots, Chemical-resistant Gloves",Chemical Storage Room,Acid Burn,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),85,69,PTFE (Teflon-lined),30,Fume Hood Ventilation,"Full Body Protective Suit, Respirator Mask, Chemical Suit, Eye Wash Station Access",Chemical Storage Room,Acid Spill,HIGH RISK
Oleic Acid (C₁₈H₃₄O₂),14,27,Glass,6,Moderate,Safety Boots,Cold Storage Unit,Corrosion Damage,LOW RISK
Formic Acid (HCOOH),168,85,Borosilicate Glass,108,Low,"Eye Wash Station Access, Chemical Suit",Warehouse,Fire Hazard,CRITICAL RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),40,68,Fiber-Reinforced Plastic (FRP),69,Good,"Gloves, Lab Coat",Chemical Storage Room,Toxic Gas Release,HIGH RISK
Perchloric Acid (HClO₄),22,39,Fiber-Reinforced Plastic (FRP),33,Good,"Full Body Protective Suit, Respirator Mask, Chemical-resistant Gloves",Underground Storage,Toxic Gas Release,MEDIUM RISK
Caproic Acid (C₆H₁₂O₂),191,97,PTFE (Teflon-lined),238,Poor,"Safety Boots, Gloves, Chemical Suit, Eye Wash Station Access",Warehouse,Toxic Gas Release,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),56,63,Borosilicate Glass,38,Poor,"Safety Boots, Chemical Suit, Safety Goggles, Gloves",Warehouse,Toxic Gas Release,HIGH RISK
Formic Acid (HCOOH),4,17,Carbon Steel (coated),6,Good,"Eye Wash Station Access, Chemical Suit, Full Body Protective Suit, Lab Coat, Respirator Mask",Hazardous Material Room,Acid Spill,LOW RISK
Iodic Acid (HIO₃),399,84,Fiber-Reinforced Plastic (FRP),140,Fume Hood Ventilation,"Face Shield, Chemical-resistant Gloves",Outdoor Storage,Corrosion Damage,CRITICAL RISK
Acetic Acid (CH₃COOH),182,99,PTFE (Teflon-lined),148,Fume Hood Ventilation,"Eye Wash Station Access, Face Shield, Full Body Protective Suit, Safety Boots, Lab Coat",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Butyric Acid (C₄H₈O₂),11,26,Borosilicate Glass,23,Industrial Ventilation System,"Gloves, Lab Coat, Chemical-resistant Gloves, Safety Goggles",Warehouse,Explosion Risk,MEDIUM RISK
Carbonic Acid (H₂CO₃),12,20,Fiber-Reinforced Plastic (FRP),8,Industrial Ventilation System,"Lab Coat, Face Shield",Hazardous Material Room,Explosion Risk,LOW RISK
Palmitic Acid (C₁₆H₃₂O₂),13,18,Borosilicate Glass,15,High,Safety Boots,Factory Floor,None,LOW RISK
Boric Acid (H₃BO₃),152,59,Polypropylene,99,Poor,Respirator Mask,Outdoor Storage,Fire Hazard,HIGH RISK
Citric Acid (C₆H₈O₇),7,21,Ceramic Containers,12,Good,"Chemical Suit, Chemical-resistant Gloves, Lab Coat, Face Shield, Respirator Mask",Warehouse,Corrosion Damage,LOW RISK
Stearic Acid (C₁₈H₃₆O₂),3,27,HDPE Plastic,10,Poor,Eye Wash Station Access,Cold Storage Unit,Corrosion Damage,LOW RISK
Adipic Acid (C₆H₁₀O₄),56,31,Glass,12,Industrial Ventilation System,Chemical Suit,Cold Storage Unit,Explosion Risk,MEDIUM RISK
Oleic Acid (C₁₈H₃₄O₂),422,87,Fiber-Reinforced Plastic (FRP),135,High,"Face Shield, Lab Coat",Hazardous Material Room,Corrosion Damage,CRITICAL RISK
Citric Acid (C₆H₈O₇),14,22,PTFE (Teflon-lined),1,Moderate,"Safety Boots, Respirator Mask, Eye Wash Station Access, Gloves, Full Body Protective Suit",Cold Storage Unit,Explosion Risk,LOW RISK
Boric Acid (H₃BO₃),441,107,Ceramic Containers,130,High,"Full Body Protective Suit, Chemical-resistant Gloves",Hazardous Material Room,Acid Burn,CRITICAL RISK
Thiocyanic Acid (HSCN),16,26,Stainless Steel,29,High,"Chemical-resistant Gloves, Safety Goggles, Chemical Suit, Lab Coat, Eye Wash Station Access",Outdoor Storage,Explosion Risk,MEDIUM RISK
Oleic Acid (C₁₈H₃₄O₂),59,35,Ceramic Containers,30,Poor,"Full Body Protective Suit, Respirator Mask, Eye Wash Station Access",Outdoor Storage,None,MEDIUM RISK
Fumaric Acid (C₄H₄O₄),13,30,Stainless Steel,8,High,"Lab Coat, Respirator Mask",Warehouse,Fire Hazard,LOW RISK
Ascorbic Acid (C₆H₈O₆),40,31,PVC (Polyvinyl Chloride),10,Good,"Chemical Suit, Safety Goggles",Cold Storage Unit,Explosion Risk,MEDIUM RISK
Chromic Acid (H₂CrO₄),56,38,Polypropylene,24,Fume Hood Ventilation,"Safety Goggles, Full Body Protective Suit, Gloves, Safety Boots",Outdoor Storage,Toxic Gas Release,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),96,55,PVC (Polyvinyl Chloride),75,High,Gloves,Outdoor Storage,Container Leakage,HIGH RISK
Chloric Acid (HClO₃),328,82,Fiber-Reinforced Plastic (FRP),225,Good,"Chemical-resistant Gloves, Safety Goggles",Hazardous Material Room,Corrosion Damage,CRITICAL RISK
Oxalic Acid (C₂H₂O₄),13,15,Carbon Steel (coated),6,Low,"Lab Coat, Safety Boots",Chemical Storage Room,Container Leakage,LOW RISK
Fumaric Acid (C₄H₄O₄),11,15,Stainless Steel,6,Industrial Ventilation System,"Gloves, Respirator Mask, Lab Coat, Safety Goggles, Chemical-resistant Gloves",Underground Storage,Acid Burn,LOW RISK
Iodic Acid (HIO₃),5,28,Stainless Steel,6,Fume Hood Ventilation,Full Body Protective Suit,Laboratory,None,LOW RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),299,91,Glass,144,Good,Safety Goggles,Underground Storage,Fire Hazard,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),132,52,PTFE (Teflon-lined),92,Low,"Full Body Protective Suit, Chemical-resistant Gloves, Lab Coat",Factory Floor,Explosion Risk,HIGH RISK
Selenic Acid (H₂SeO₄),1,30,Borosilicate Glass,5,Low,Lab Coat,Chemical Storage Room,Toxic Gas Release,LOW RISK
Chloric Acid (HClO₃),17,36,PTFE (Teflon-lined),32,Fume Hood Ventilation,"Full Body Protective Suit, Chemical-resistant Gloves, Gloves, Lab Coat",Warehouse,Container Leakage,MEDIUM RISK
Methacrylic Acid (C₄H₆O₂),13,23,Fiber-Reinforced Plastic (FRP),8,Moderate,"Gloves, Safety Boots, Full Body Protective Suit, Chemical Suit",Underground Storage,None,LOW RISK
Citric Acid (C₆H₈O₇),366,85,Carbon Steel (coated),178,Fume Hood Ventilation,"Full Body Protective Suit, Chemical Suit, Chemical-resistant Gloves",Factory Floor,Acid Burn,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),7,15,HDPE Plastic,3,Low,"Gloves, Face Shield, Full Body Protective Suit",Outdoor Storage,Toxic Gas Release,LOW RISK
Bromic Acid (HBrO₃),258,75,HDPE Plastic,127,Poor,"Safety Boots, Chemical Suit, Full Body Protective Suit, Eye Wash Station Access",Cold Storage Unit,Acid Spill,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),6,27,Ceramic Containers,4,Low,"Lab Coat, Respirator Mask, Safety Goggles, Chemical Suit",Cold Storage Unit,None,LOW RISK
Silicic Acid (H₄SiO₄),14,17,Carbon Steel (coated),13,Industrial Ventilation System,"Chemical-resistant Gloves, Lab Coat, Gloves, Face Shield, Eye Wash Station Access",Hazardous Material Room,Corrosion Damage,LOW RISK
Nitric Acid (HNO₃),57,39,Glass,40,High,"Gloves, Chemical-resistant Gloves, Safety Boots, Respirator Mask, Eye Wash Station Access",Chemical Storage Room,Toxic Gas Release,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),100,67,HDPE Plastic,45,High,"Face Shield, Chemical-resistant Gloves",Outdoor Storage,None,HIGH RISK
Acetic Acid (CH₃COOH),50,26,Ceramic Containers,32,Poor,"Respirator Mask, Lab Coat, Safety Boots",Factory Floor,Corrosion Damage,MEDIUM RISK
Ascorbic Acid (C₆H₈O₆),96,70,HDPE Plastic,64,Fume Hood Ventilation,Chemical-resistant Gloves,Cold Storage Unit,None,HIGH RISK
Butyric Acid (C₄H₈O₂),45,32,HDPE Plastic,19,High,"Safety Goggles, Respirator Mask, Gloves, Full Body Protective Suit",Outdoor Storage,Acid Burn,MEDIUM RISK
Picric Acid (C₆H₃N₃O₇),10,27,Borosilicate Glass,6,Industrial Ventilation System,"Full Body Protective Suit, Safety Goggles, Eye Wash Station Access, Gloves, Chemical-resistant Gloves",Factory Floor,Toxic Gas Release,LOW RISK
Hydrochloric Acid (HCl),4,16,Carbon Steel (coated),14,Fume Hood Ventilation,"Lab Coat, Safety Goggles, Face Shield, Chemical-resistant Gloves",Factory Floor,Toxic Gas Release,LOW RISK
Formic Acid (HCOOH),67,70,Stainless Steel,57,Poor,"Chemical-resistant Gloves, Eye Wash Station Access, Respirator Mask, Lab Coat, Chemical Suit",Underground Storage,Acid Burn,HIGH RISK
Nitric Acid (HNO₃),120,71,Fiber-Reinforced Plastic (FRP),67,Moderate,"Respirator Mask, Chemical-resistant Gloves",Underground Storage,Toxic Gas Release,HIGH RISK
Oleic Acid (C₁₈H₃₄O₂),10,20,Stainless Steel,4,High,"Safety Boots, Gloves, Chemical-resistant Gloves, Safety Goggles",Outdoor Storage,Toxic Gas Release,LOW RISK
Chromic Acid (H₂CrO₄),24,29,Polypropylene,17,Good,"Safety Goggles, Respirator Mask, Gloves, Eye Wash Station Access, Face Shield",Laboratory,Fire Hazard,MEDIUM RISK
Boric Acid (H₃BO₃),455,109,HDPE Plastic,151,Moderate,"Chemical Suit, Face Shield, Safety Boots",Underground Storage,Explosion Risk,CRITICAL RISK
Chromic Acid (H₂CrO₄),93,68,PVC (Polyvinyl Chloride),92,Low,Safety Boots,Hazardous Material Room,Container Leakage,HIGH RISK
Caproic Acid (C₆H₁₂O₂),51,58,Stainless Steel,71,Moderate,"Respirator Mask, Safety Boots, Chemical-resistant Gloves",Warehouse,Container Leakage,HIGH RISK
Silicic Acid (H₄SiO₄),142,55,Fiber-Reinforced Plastic (FRP),40,Industrial Ventilation System,Safety Goggles,Factory Floor,Corrosion Damage,HIGH RISK
Boric Acid (H₃BO₃),126,102,Stainless Steel,92,Fume Hood Ventilation,"Eye Wash Station Access, Face Shield, Chemical-resistant Gloves, Safety Boots, Safety Goggles",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Citric Acid (C₆H₈O₇),113,49,PTFE (Teflon-lined),31,Poor,Full Body Protective Suit,Cold Storage Unit,Toxic Gas Release,HIGH RISK
Caproic Acid (C₆H₁₂O₂),140,106,HDPE Plastic,228,Fume Hood Ventilation,Safety Goggles,Underground Storage,Explosion Risk,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),120,40,HDPE Plastic,67,Poor,Chemical Suit,Chemical Storage Room,Acid Burn,HIGH RISK
Methacrylic Acid (C₄H₆O₂),8,27,Polypropylene,11,Fume Hood Ventilation,"Face Shield, Respirator Mask, Full Body Protective Suit",Factory Floor,Explosion Risk,LOW RISK
Picric Acid (C₆H₃N₃O₇),155,87,HDPE Plastic,96,Industrial Ventilation System,Lab Coat,Outdoor Storage,Explosion Risk,CRITICAL RISK
Arsenic Acid (H₃AsO₄),11,24,Polypropylene,10,High,"Full Body Protective Suit, Lab Coat, Face Shield",Laboratory,Acid Burn,LOW RISK
Chromic Acid (H₂CrO₄),9,23,Borosilicate Glass,2,Poor,"Safety Boots, Full Body Protective Suit, Chemical-resistant Gloves",Cold Storage Unit,Corrosion Damage,LOW RISK
Lactic Acid (C₃H₆O₃),162,77,Glass,156,Good,"Chemical-resistant Gloves, Safety Boots, Eye Wash Station Access, Face Shield",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Maleic Acid (C₄H₄O₄),465,78,PTFE (Teflon-lined),161,Low,"Safety Goggles, Eye Wash Station Access, Gloves, Chemical-resistant Gloves, Chemical Suit",Outdoor Storage,Corrosion Damage,CRITICAL RISK
Caproic Acid (C₆H₁₂O₂),120,79,HDPE Plastic,93,Moderate,"Eye Wash Station Access, Chemical Suit, Face Shield, Chemical-resistant Gloves",Hazardous Material Room,Explosion Risk,HIGH RISK
Periodic Acid (HIO₄),10,27,Carbon Steel (coated),13,Poor,"Lab Coat, Full Body Protective Suit, Chemical Suit, Eye Wash Station Access",Warehouse,None,LOW RISK
Maleic Acid (C₄H₄O₄),2,26,PTFE (Teflon-lined),3,High,"Safety Boots, Safety Goggles, Chemical-resistant Gloves, Gloves",Cold Storage Unit,Corrosion Damage,LOW RISK
Thiocyanic Acid (HSCN),4,27,PTFE (Teflon-lined),0,Good,"Safety Goggles, Gloves",Underground Storage,Explosion Risk,LOW RISK
Sulfamic Acid (H₃NSO₃),275,114,Stainless Steel,111,High,"Chemical Suit, Chemical-resistant Gloves",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Iodic Acid (HIO₃),126,46,PVC (Polyvinyl Chloride),43,Moderate,"Respirator Mask, Eye Wash Station Access, Chemical Suit, Gloves, Chemical-resistant Gloves",Outdoor Storage,Fire Hazard,HIGH RISK
Maleic Acid (C₄H₄O₄),136,68,Fiber-Reinforced Plastic (FRP),38,Low,"Eye Wash Station Access, Chemical Suit, Lab Coat, Chemical-resistant Gloves, Safety Goggles",Chemical Storage Room,Corrosion Damage,HIGH RISK
Formic Acid (HCOOH),36,26,Fiber-Reinforced Plastic (FRP),24,Low,"Face Shield, Chemical-resistant Gloves, Gloves",Chemical Storage Room,None,MEDIUM RISK
Carbonic Acid (H₂CO₃),13,16,Polypropylene,9,Low,"Chemical-resistant Gloves, Chemical Suit, Full Body Protective Suit, Respirator Mask",Underground Storage,Explosion Risk,LOW RISK
Adipic Acid (C₆H₁₀O₄),492,83,Ceramic Containers,222,Industrial Ventilation System,"Gloves, Chemical Suit, Lab Coat, Safety Goggles",Factory Floor,Toxic Gas Release,CRITICAL RISK
Arsenic Acid (H₃AsO₄),51,35,HDPE Plastic,18,Industrial Ventilation System,"Face Shield, Full Body Protective Suit, Chemical-resistant Gloves, Eye Wash Station Access, Chemical Suit",Warehouse,Container Leakage,MEDIUM RISK
Propionic Acid (C₃H₆O₂),35,34,PVC (Polyvinyl Chloride),40,Low,"Face Shield, Respirator Mask",Underground Storage,Corrosion Damage,MEDIUM RISK
Hypochlorous Acid (HClO),34,33,Fiber-Reinforced Plastic (FRP),19,Moderate,Respirator Mask,Chemical Storage Room,Fire Hazard,MEDIUM RISK
Sulfamic Acid (H₃NSO₃),20,32,HDPE Plastic,23,Industrial Ventilation System,"Chemical Suit, Respirator Mask, Full Body Protective Suit",Hazardous Material Room,None,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),325,92,Glass,228,Industrial Ventilation System,"Chemical-resistant Gloves, Eye Wash Station Access, Lab Coat, Chemical Suit",Outdoor Storage,Acid Burn,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),108,47,Fiber-Reinforced Plastic (FRP),71,Good,"Eye Wash Station Access, Safety Boots, Safety Goggles",Laboratory,None,HIGH RISK
Acetic Acid (CH₃COOH),121,80,Polypropylene,68,Poor,"Respirator Mask, Lab Coat, Full Body Protective Suit",Underground Storage,Toxic Gas Release,HIGH RISK
Selenic Acid (H₂SeO₄),245,80,Stainless Steel,136,High,"Safety Boots, Eye Wash Station Access",Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Fumaric Acid (C₄H₄O₄),64,70,Fiber-Reinforced Plastic (FRP),30,High,Full Body Protective Suit,Underground Storage,None,HIGH RISK
Formic Acid (HCOOH),8,16,Glass,6,High,"Full Body Protective Suit, Chemical Suit",Warehouse,Container Leakage,LOW RISK
Caproic Acid (C₆H₁₂O₂),31,37,Borosilicate Glass,14,Low,"Respirator Mask, Lab Coat",Underground Storage,Container Leakage,MEDIUM RISK
Methacrylic Acid (C₄H₆O₂),416,105,Borosilicate Glass,100,Good,"Lab Coat, Face Shield, Safety Goggles, Chemical-resistant Gloves",Hazardous Material Room,Corrosion Damage,CRITICAL RISK
Lactic Acid (C₃H₆O₃),105,72,Fiber-Reinforced Plastic (FRP),40,Poor,"Face Shield, Chemical-resistant Gloves, Respirator Mask, Eye Wash Station Access",Warehouse,Acid Spill,HIGH RISK
Thiocyanic Acid (HSCN),106,76,Carbon Steel (coated),66,Moderate,"Gloves, Chemical Suit, Safety Goggles, Lab Coat",Laboratory,Corrosion Damage,HIGH RISK
Malic Acid (C₄H₆O₅),15,40,Fiber-Reinforced Plastic (FRP),33,Industrial Ventilation System,"Eye Wash Station Access, Safety Boots, Safety Goggles, Chemical-resistant Gloves, Chemical Suit",Factory Floor,Acid Spill,MEDIUM RISK
Acrylic Acid (C₃H₄O₂),33,45,Stainless Steel,30,High,"Gloves, Chemical-resistant Gloves, Chemical Suit, Lab Coat",Underground Storage,Container Leakage,MEDIUM RISK
Hydrochloric Acid (HCl),451,92,Polypropylene,169,Fume Hood Ventilation,"Safety Boots, Gloves, Chemical Suit, Face Shield",Chemical Storage Room,Fire Hazard,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),1,20,HDPE Plastic,14,Moderate,"Gloves, Full Body Protective Suit",Factory Floor,Acid Burn,LOW RISK
Ascorbic Acid (C₆H₈O₆),146,72,Ceramic Containers,187,Poor,Eye Wash Station Access,Underground Storage,None,CRITICAL RISK
Carbonic Acid (H₂CO₃),359,77,Polypropylene,233,Low,"Chemical-resistant Gloves, Safety Goggles, Face Shield, Safety Boots, Chemical Suit",Underground Storage,Toxic Gas Release,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),13,23,HDPE Plastic,5,Low,"Chemical-resistant Gloves, Eye Wash Station Access, Full Body Protective Suit, Respirator Mask",Laboratory,Acid Spill,LOW RISK
Oxalic Acid (C₂H₂O₄),137,81,Polypropylene,169,Industrial Ventilation System,"Full Body Protective Suit, Safety Goggles, Chemical-resistant Gloves, Respirator Mask, Lab Coat",Warehouse,Fire Hazard,CRITICAL RISK
Nitric Acid (HNO₃),4,24,Borosilicate Glass,15,Fume Hood Ventilation,"Chemical Suit, Face Shield, Lab Coat, Chemical-resistant Gloves",Cold Storage Unit,Toxic Gas Release,LOW RISK
Phosphoric Acid (H₃PO₄),147,63,Carbon Steel (coated),93,High,Safety Boots,Outdoor Storage,Toxic Gas Release,HIGH RISK
Thiocyanic Acid (HSCN),230,90,Stainless Steel,122,Poor,"Full Body Protective Suit, Safety Boots, Safety Goggles",Outdoor Storage,Explosion Risk,CRITICAL RISK
Citric Acid (C₆H₈O₇),493,118,Glass,174,Poor,"Chemical Suit, Chemical-resistant Gloves, Full Body Protective Suit, Gloves",Chemical Storage Room,Fire Hazard,CRITICAL RISK
Arsenic Acid (H₃AsO₄),12,27,Carbon Steel (coated),8,Moderate,Full Body Protective Suit,Hazardous Material Room,Container Leakage,LOW RISK
Acrylic Acid (C₃H₄O₂),257,106,PVC (Polyvinyl Chloride),91,Low,"Full Body Protective Suit, Face Shield, Safety Boots",Outdoor Storage,Explosion Risk,CRITICAL RISK
Silicic Acid (H₄SiO₄),96,70,Glass,71,Industrial Ventilation System,"Face Shield, Safety Boots",Outdoor Storage,Container Leakage,HIGH RISK
Bromic Acid (HBrO₃),134,62,Fiber-Reinforced Plastic (FRP),56,High,"Face Shield, Full Body Protective Suit",Chemical Storage Room,Toxic Gas Release,HIGH RISK
Nitric Acid (HNO₃),40,53,Polypropylene,65,High,"Safety Goggles, Gloves, Face Shield, Chemical Suit, Eye Wash Station Access",Laboratory,Acid Burn,HIGH RISK
Methacrylic Acid (C₄H₆O₂),84,74,HDPE Plastic,52,High,Safety Boots,Hazardous Material Room,Fire Hazard,HIGH RISK
Butyric Acid (C₄H₈O₂),7,22,PTFE (Teflon-lined),12,High,Chemical-resistant Gloves,Laboratory,Corrosion Damage,LOW RISK
Acetic Acid (CH₃COOH),1,28,HDPE Plastic,3,Fume Hood Ventilation,"Safety Goggles, Chemical Suit, Full Body Protective Suit",Hazardous Material Room,Fire Hazard,LOW RISK
Phosphoric Acid (H₃PO₄),8,19,Fiber-Reinforced Plastic (FRP),15,Low,Respirator Mask,Outdoor Storage,Explosion Risk,LOW RISK
Sulfamic Acid (H₃NSO₃),4,19,Ceramic Containers,13,Low,"Chemical-resistant Gloves, Safety Boots, Face Shield, Full Body Protective Suit",Cold Storage Unit,None,LOW RISK
Pyruvic Acid (C₃H₄O₃),334,95,Ceramic Containers,181,Fume Hood Ventilation,"Full Body Protective Suit, Gloves, Respirator Mask, Safety Boots, Eye Wash Station Access",Warehouse,Container Leakage,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),295,77,PVC (Polyvinyl Chloride),129,Fume Hood Ventilation,"Lab Coat, Chemical Suit, Safety Goggles",Underground Storage,Acid Burn,CRITICAL RISK
Perchloric Acid (HClO₄),104,53,PTFE (Teflon-lined),98,Good,"Safety Boots, Chemical Suit, Face Shield, Full Body Protective Suit",Outdoor Storage,Acid Burn,HIGH RISK
Bromic Acid (HBrO₃),240,88,PVC (Polyvinyl Chloride),88,Industrial Ventilation System,Lab Coat,Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Citric Acid (C₆H₈O₇),223,118,Ceramic Containers,212,Low,"Chemical Suit, Safety Boots, Full Body Protective Suit, Eye Wash Station Access",Laboratory,Container Leakage,CRITICAL RISK
Thiocyanic Acid (HSCN),17,28,Fiber-Reinforced Plastic (FRP),11,Low,"Face Shield, Full Body Protective Suit, Gloves",Factory Floor,Acid Burn,MEDIUM RISK
